filename,time

1.txt,510.3µs
2.txt,0s
3.txt,0s
4.txt,0s

1.txt,0s
2.txt,1.0551ms
3.txt,0s
4.txt,0s

1.txt,0s
2.txt,0s
3.txt,0s
4.txt,0s

1.txt,0s
2.txt,0s
3.txt,517.5µs
4.txt,0s

1.txt,0s
2.txt,0s
3.txt,0s
4.txt,0s

1.txt,0s
2.txt,0s

- - - OPTIMIZER STARTED - - -,0s


- - - OPTIMIZER STARTED - - -,0s


FILE CLOSED,0s


FILE CLOSED,0s


- - - OPTIMIZER STARTED - - -,0s

1.txt,0s
2.txt,0s
3.txt,0s
4.txt,0s

- - - OPTIMIZER ENDED - - -,1h21m21.2862811s


FILE CLOSED,0s


- - - OPTIMIZER STARTED - - -,0s

1.txt,0s
2.txt,0s
3.txt,0s
4.txt,0s

- - - OPTIMIZER ENDED - - -,49.5713319s


- - - OPTIMIZER STARTED - - -,0s

1.txt,0s
2.txt,0s
3.txt,0s
4.txt,0s

- - - OPTIMIZER ENDED - - -,3m13.4499542s


FILE CLOSED,0s

